xbrl_tag,accounting_standard,category,context_role,context_pattern,json_path,value_type,unit_ref,notes
tse-ed-t:SecuritiesCode,any,metadata,current,Current{period}Instant,metadata.code,str,—,末尾'0'を除去して4桁化
tse-ed-t:CompanyName,any,metadata,current,Current{period}Instant,metadata.company_name,str,—,
tse-ed-t:DocumentName,any,metadata,current,Current{period}Instant,metadata.document_name,str,—,
tse-ed-t:FilingDate,any,metadata,current,Current{period}Instant,metadata.filing_date,date,—,和暦/全角を ISO 形式に変換
tse-ed-t:FiscalYearEnd,any,metadata,current,CurrentYearInstant,metadata.fiscal_year_end,date,—,
tse-ed-t:QuarterlyPeriod,any,metadata,current,Current{period}Instant,metadata.period_type,str,Pure,1/2/3 → Q1/Q2/Q3、欠損は FY
tse-ed-t:NetSales,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_sales,int,JPY,priority 1
tse-ed-t:OperatingRevenues,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:NetSalesIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_sales,int,JPY,priority 1
tse-ed-t:RevenueIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:SalesIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_sales,int,JPY,priority 3 (alt)
tse-ed-t:OperatingIncome,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.operating_income,int,JPY,priority 1
tse-ed-t:OperatingIncomeIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.operating_income,int,JPY,priority 1
tse-ed-t:OrdinaryIncome,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.ordinary_income,int,JPY,priority 1
tse-ed-t:ProfitBeforeTaxIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.profit_before_tax,int,JPY,priority 1
tse-ed-t:ProfitIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.profit,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParent,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_income,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParentIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.net_income,int,JPY,priority 1
tse-ed-t:ComprehensiveIncome,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.comprehensive_income,int,JPY,priority 1
